conductivity,thickness
89212287.33,2.52E-06
9274309.513,3.05E-05
91359179.64,3.98E-05
61921826.44,6.09E-05
61732965.89,7.20E-05
60724192.1,3.14E-05
47986791.09,1.43E-05
51968978.35,5.25E-05
81468983.42,4.09E-05
56366865.05,1.92E-05
73501623.6,9.01E-05
26089573.13,4.92E-06
43929903.13,9.90E-05
10108614.75,5.97E-05
54081957.43,8.39E-05
64018661.1,6.96E-05
76284964.16,9.56E-05
33991127.35,2.12E-05
92241083.51,7.11E-05
78205550.17,9.96E-05
27754987.37,7.94E-05
75666004.99,8.47E-06
55642318.1,6.53E-05
77801087.27,1.21E-05
7427241.735,4.58E-05
31476769.23,3.77E-05
52553035.05,8.11E-06
1227701.538,8.04E-05
29019594.86,2.02E-05
20892877.18,2.61E-05
31098244.25,2.39E-05
96842242.18,4.48E-05
85039117.25,6.85E-05
51960604.66,7.76E-05
89572450.24,2.89E-05
90570911.01,2.42E-05
7244150.044,3.85E-05
71203790.01,1.02E-05
81783471.98,6.56E-05
58902039.9,2.29E-05
56689975.28,1.59E-05
97848123.42,9.00E-05
60318810.51,9.42E-05
29113095.9,3.95E-05
51837567.4,2.40E-05
68925156.95,9.48E-05
32879206.08,3.98E-05
64453027.27,8.90E-05
37908629.42,8.91E-05
47849718.27,5.01E-05
87002120.53,1.10E-06
37256202.66,6.56E-05
7897321.369,1.62E-05
9951498.507,6.10E-05
51557860.73,1.83E-06
48050743.75,5.92E-05
50289006.05,4.67E-05
75800902.29,7.91E-05
59105481.81,2.10E-05
67331433.3,8.97E-05
77824724.61,5.79E-05
67292525.69,2.02E-05
56526310.93,8.67E-05
82708834.12,5.97E-05
32329477.68,1.13E-05
42238448.12,6.30E-05
59655071.59,8.84E-05
95280110.78,8.71E-05
75564738.19,8.92E-05
25206132.63,5.64E-05
82774053.1,6.06E-06
35402522.93,7.12E-05
65090105.73,6.08E-05
66106715.76,2.12E-05
72843261.79,1.51E-05
94324927.47,6.95E-05
11430509.13,3.22E-05
48261462.19,3.60E-06
75778085.14,3.08E-05
66251513.36,7.30E-05
14083853.32,5.71E-05
10450523.38,1.61E-05
58394494.6,1.82E-05
87262445.34,9.78E-05
11926314.35,7.03E-05
36090045.95,7.25E-05
64078252.31,5.13E-05
64015761.36,4.28E-05
55381298.5,4.64E-05
75954154.23,7.17E-05
9859024.125,8.87E-05
33895830.85,2.72E-06
52374646.18,3.98E-05
84638248.35,6.93E-05
74209309.56,1.52E-05
48033332.6,6.82E-05
66588937.58,3.44E-05
97065728,3.07E-05
63271503.79,2.75E-05
90647837.49,7.53E-05
68236730.68,8.78E-05
43362484.57,3.77E-06
14290063.38,6.93E-05
98098317.16,8.98E-06
7852665.371,4.57E-05
55515575.24,1.91E-05
61485051.44,1.77E-05
46523436.21,4.81E-05
16868650.78,7.92E-05
39787493.47,3.20E-05
77441562.85,6.35E-05
61003444.61,9.69E-05
42010995.78,8.11E-05
64920555.84,9.39E-05
2807308.684,4.45E-05
47158561.95,5.75E-05
92934244.36,3.86E-05
93631753.94,3.18E-05
92047818.55,9.31E-06
44293643.62,4.14E-05
66065437.48,8.26E-05
12445379.9,4.25E-05
79772943.35,2.01E-05
9657321.149,2.94E-05
25548994.15,8.66E-05
23890102.58,8.46E-05
2054264.667,5.87E-05
19515397.8,5.27E-05
40923506.99,6.02E-05
64036111.93,7.92E-05
35673643.19,9.38E-05
96919820.51,6.94E-05
26641491.12,1.92E-05
10217634.27,4.40E-05
89307473.58,9.56E-05
1594065.454,5.87E-05
46311148.64,9.47E-05
2812039.14,9.06E-05
20725629.07,1.78E-06
46437160.92,9.16E-05
75390889.37,7.06E-05
34307328.35,9.82E-05
51751408.44,8.15E-05
36719740.22,9.43E-05
72977440.98,8.25E-05
8707813.651,5.84E-05
64706601.05,6.51E-05
58160689.8,6.55E-05
7921421.666,4.01E-06
23010302.92,5.45E-05
90868754.76,1.09E-05
94179739.66,9.77E-05
82626700.77,5.72E-06
45070976.07,1.94E-05
12516913.46,7.08E-05
92972112.11,7.22E-06
38904744.23,5.38E-05
40771076.02,8.77E-05
40500494.37,4.15E-05
114010.1518,3.23E-05
38004110.8,8.98E-05
85384957.39,6.01E-05
20220425.83,8.50E-05
94576154.03,2.47E-05
18199394.5,4.10E-05
60758238.71,8.55E-05
40520351.98,9.86E-05
16258736.96,2.72E-06
34070286.72,2.64E-05
35451116.55,1.23E-05
40759005.49,8.33E-05
72284596,7.85E-05
39902729.59,5.34E-05
31311634.72,7.47E-05
18162616.12,7.36E-05
61187666.33,3.95E-05
67817892.61,6.77E-05
43660668.73,7.96E-05
99001205.03,8.26E-05
32749075.13,1.23E-05
2014177.095,4.12E-05
17742249.69,8.30E-05
15730140.76,9.97E-05
93983215.42,4.95E-05
44969824.77,4.08E-05
68146372.2,5.87E-05
64315323.11,6.34E-05
78984472.82,4.72E-05
87199805.8,5.63E-05
38361126.37,3.27E-05
71575595.85,9.77E-05
60429070.95,6.30E-06
68556540.36,5.56E-05
23731060.42,8.61E-05
13432909.31,7.11E-06
24428588.24,2.53E-05
3962882.246,9.25E-05
14461793.96,9.55E-05
54784654.78,1.76E-05
25769286.77,9.59E-05
57724084.12,6.85E-05
78259756.95,7.08E-05
80826996.88,8.95E-05
44127064.68,1.54E-05
78724337.27,9.75E-05
40467562.18,7.57E-05
50903934.82,8.95E-05
13296716.11,2.28E-05
80166416.01,7.77E-05
30021463.87,9.08E-06
36482059.03,2.13E-05
5274653.416,6.27E-05
58291413.56,1.01E-05
97323342.04,8.39E-05
79392494.69,2.29E-05
22734778.1,6.99E-05
41786101.87,8.15E-05
83341561.75,5.89E-05
32412360.87,9.47E-05
49669880.08,5.19E-05
70681139.84,8.62E-05
16271733.78,9.39E-05
93359803.4,7.56E-05
9392215.339,4.15E-05
72785810.16,6.43E-05
52709783.4,5.09E-05
41455022.46,1.02E-06
32037798,8.78E-05
16484561.18,5.63E-05
78689511.02,1.93E-05
15142420.33,1.41E-05
80286793.62,5.11E-05
81560842.5,1.74E-06
81247484.02,2.26E-05
35801440.5,1.03E-05
4066374.43,3.50E-05
31441192.97,6.35E-06
63450034.43,8.92E-05
90780521.66,7.82E-05
90844460.52,5.55E-05
78365686.34,3.21E-05
65983148.08,7.60E-05
64909718.41,5.34E-05
92392608.44,2.94E-05
85848795.25,1.96E-05
70023625.85,4.76E-05
82256991.98,7.24E-05
82716150.13,5.46E-05
36642667.93,8.46E-05
20758788.38,7.46E-05
34478213.75,8.87E-05
74344220.69,5.52E-05
84912718.08,8.40E-05
67417663.25,2.58E-05
73122449.31,4.27E-05
825075.3392,7.81E-05
37505123.05,6.14E-05
75716333.76,5.10E-05
35359007.62,2.55E-05
43084211.72,2.24E-05
30745523.16,1.03E-05
11498322.85,8.64E-05
35402364.54,1.36E-05
28024400.82,5.56E-05
32901270.47,7.76E-05
